s,p,o
21,refersTo,odang_person_3787905
odang_person_3787905,label_it,Thomas Barclay
odang_person_3787905,P106,Q193391
odang_person_3787905,P21,Q6581097
odang_person_3787905,P569,1728
odang_person_3787905,message,21
112,refersTo,odang_person_5899233
odang_person_5899233,label_it,André Marie Renié
odang_person_5899233,P106,Q42973
odang_person_5899233,P569,1789
odang_person_5899233,message,112
185,refersTo,odang_person_8454650
odang_person_8454650,label_it,Mohamed Reda
odang_person_8454650,P103,Q25448
odang_person_8454650,P106,Q177220
odang_person_8454650,P1412,Q13955
odang_person_8454650,P19,Q80985
odang_person_8454650,P21,Q6581097
odang_person_8454650,P27,Q1028
odang_person_8454650,P569,1980
odang_person_8454650,message,185
78,refersTo,odang_person_8551221
odang_person_8551221,label_it,Phil Hester
odang_person_8551221,P106,Q36180
odang_person_8551221,P19,Q1546
odang_person_8551221,P21,Q6581097
odang_person_8551221,P27,Q30
odang_person_8551221,P569,1966
odang_person_8551221,message,78
73,refersTo,odang_person_1610373
odang_person_1610373,label_it,Patrizio
odang_person_1610373,P106,Q185351
odang_person_1610373,P21,Q6581097
odang_person_1610373,message,73
52,refersTo,odang_person_8412334
odang_person_8412334,label_it,Hans Knesl
odang_person_8412334,P106,Q1281618
odang_person_8412334,P1412,Q188
odang_person_8412334,P166,Q1644841
odang_person_8412334,P19,Q668639
odang_person_8412334,P20,Q1741
odang_person_8412334,P21,Q6581097
odang_person_8412334,P27,Q40
odang_person_8412334,P569,1905
odang_person_8412334,P802,Q57284300
odang_person_8412334,message,52
163,refersTo,odang_person_1545884
odang_person_1545884,label_it,Karl Egloff
odang_person_1545884,P106,Q2066131
odang_person_1545884,P19,Q736
odang_person_1545884,P21,Q6581097
odang_person_1545884,P27,Q736
odang_person_1545884,P569,1981
odang_person_1545884,message,163
182,refersTo,odang_person_317297
odang_person_317297,label_it,Gabor Palotai
odang_person_317297,P106,Q627325
odang_person_317297,P1412,Q9067
odang_person_317297,P21,Q6581097
odang_person_317297,P27,Q28
odang_person_317297,P569,1956
odang_person_317297,message,182
43,refersTo,odang_person_3609028
odang_person_3609028,label_it,François Jacquier
odang_person_3609028,P106,Q170790
odang_person_3609028,P108,Q2032536
odang_person_3609028,P1412,Q35497
odang_person_3609028,P19,Q623374
odang_person_3609028,P20,Q220
odang_person_3609028,P21,Q6581097
odang_person_3609028,P27,Q142
odang_person_3609028,P463,Q123885
odang_person_3609028,P569,1711
odang_person_3609028,P611,Q913972
odang_person_3609028,message,43
82,refersTo,odang_person_1239729
odang_person_1239729,label_it,William Smith
odang_person_1239729,P106,Q45199
odang_person_1239729,P19,Q2262418
odang_person_1239729,P20,Q23079
odang_person_1239729,P21,Q6581097
odang_person_1239729,P27,Q161885
odang_person_1239729,P569,1790
odang_person_1239729,message,82
13,refersTo,odang_person_7266017
odang_person_7266017,label_it,Victor Cook
odang_person_7266017,P106,Q28389
odang_person_7266017,P19,Q134635
odang_person_7266017,P21,Q6581097
odang_person_7266017,P27,Q30
odang_person_7266017,P569,1960
odang_person_7266017,message,13
119,refersTo,odang_person_2985327
odang_person_2985327,label_it,Andrea Pactor
odang_person_2985327,P108,Q1433199
odang_person_2985327,P1412,Q1860
odang_person_2985327,P21,Q6581072
odang_person_2985327,message,119
11,refersTo,odang_person_926033
odang_person_926033,label_it,Christian Peter Jessen
odang_person_926033,P106,Q16267607
odang_person_926033,P20,Q1707
odang_person_926033,P21,Q6581097
odang_person_926033,P3373,Q55844306
odang_person_926033,P569,1813
odang_person_926033,message,11
86,refersTo,odang_person_6365845
odang_person_6365845,label_it,Michael Okwu
odang_person_6365845,P106,Q1930187
odang_person_6365845,P21,Q6581097
odang_person_6365845,P27,Q30
odang_person_6365845,P569,1901
odang_person_6365845,message,86
75,refersTo,odang_person_3681258
odang_person_3681258,label_it,Pierre Bertholon de Saint-Lazare
odang_person_3681258,P106,Q169470
odang_person_3681258,P1412,Q150
odang_person_3681258,P19,Q456
odang_person_3681258,P20,Q456
odang_person_3681258,P21,Q6581097
odang_person_3681258,P27,Q142
odang_person_3681258,P569,1741
odang_person_3681258,P6886,Q150
odang_person_3681258,message,75
69,refersTo,odang_person_4985058
odang_person_4985058,label_it,William Sooy Smith
odang_person_4985058,P106,Q189290
odang_person_4985058,P119,Q5551310
odang_person_4985058,P19,Q2673164
odang_person_4985058,P20,Q836663
odang_person_4985058,P21,Q6581097
odang_person_4985058,P27,Q30
odang_person_4985058,P569,1830
odang_person_4985058,P945,Q30
odang_person_4985058,message,69
152,refersTo,odang_person_8698318
odang_person_8698318,label_it,Antonino Mattarella
odang_person_8698318,P106,Q40348
odang_person_8698318,P1412,Q652
odang_person_8698318,P21,Q6581097
odang_person_8698318,P22,Q3638792
odang_person_8698318,P25,Q18959978
odang_person_8698318,P27,Q38
odang_person_8698318,P3373,Q2063147
odang_person_8698318,P569,1937
odang_person_8698318,message,152
101,refersTo,odang_person_4405525
odang_person_4405525,label_it,Eve Watkinson
odang_person_4405525,P106,Q33999
odang_person_4405525,P19,Q2090994
odang_person_4405525,P20,Q60555982
odang_person_4405525,P21,Q6581072
odang_person_4405525,P27,Q27
odang_person_4405525,P569,1909
odang_person_4405525,message,101
164,refersTo,odang_person_2949189
odang_person_2949189,label_it,Angelika Vee
odang_person_2949189,P106,Q177220
odang_person_2949189,P19,Q217
odang_person_2949189,P21,Q6581097
odang_person_2949189,P27,Q217
odang_person_2949189,P551,Q65
odang_person_2949189,message,164
147,refersTo,odang_person_3772480
odang_person_3772480,label_it,Nicola Acocella
odang_person_3772480,P106,Q188094
odang_person_3772480,P108,Q34433
odang_person_3772480,P1412,Q652
odang_person_3772480,P166,Q27988727
odang_person_3772480,P19,Q55012
odang_person_3772480,P21,Q6581097
odang_person_3772480,P27,Q38
odang_person_3772480,P463,Q723551
odang_person_3772480,P569,1939
odang_person_3772480,message,147
27,refersTo,odang_person_8795665
odang_person_8795665,label_it,Jacqueline Studer
odang_person_8795665,P106,Q25931036
odang_person_8795665,P108,Q663025
odang_person_8795665,P21,Q6581072
odang_person_8795665,P27,Q39
odang_person_8795665,message,27
8,refersTo,odang_person_4917195
odang_person_4917195,label_it,Deborah Hautzig
odang_person_4917195,P106,Q36180
odang_person_4917195,P19,Q60
odang_person_4917195,P21,Q6581072
odang_person_4917195,P22,Q7879792
odang_person_4917195,P25,Q462465
odang_person_4917195,P27,Q30
odang_person_4917195,P569,1956
odang_person_4917195,message,8
18,refersTo,odang_person_8443345
odang_person_8443345,label_it,Christian Malcros
odang_person_8443345,P103,Q150
odang_person_8443345,P106,Q1930187
odang_person_8443345,P1412,Q150
odang_person_8443345,P19,Q90
odang_person_8443345,P21,Q6581097
odang_person_8443345,P27,Q142
odang_person_8443345,P569,1946
odang_person_8443345,message,18
28,refersTo,odang_person_4794922
odang_person_4794922,label_it,Mariana Efstratiou
odang_person_4794922,P103,Q9129
odang_person_4794922,P106,Q177220
odang_person_4794922,P1412,Q9129
odang_person_4794922,P19,Q1524
odang_person_4794922,P21,Q6581072
odang_person_4794922,P27,Q41
odang_person_4794922,P569,1962
odang_person_4794922,message,28
46,refersTo,odang_person_8427903
odang_person_8427903,label_it,Richard Reitsamer
odang_person_8427903,P106,Q5060555
odang_person_8427903,P19,Q2833
odang_person_8427903,P20,Q6526
odang_person_8427903,P21,Q6581097
odang_person_8427903,P27,Q1206012
odang_person_8427903,P569,1901
odang_person_8427903,message,46
173,refersTo,odang_person_7678564
odang_person_7678564,label_it,Luigi Sessa
odang_person_7678564,P106,Q937857
odang_person_7678564,P19,Q5990
odang_person_7678564,P20,Q490
odang_person_7678564,P21,Q6581097
odang_person_7678564,P27,Q172579
odang_person_7678564,P569,1886
odang_person_7678564,message,173
171,refersTo,odang_person_5321917
odang_person_5321917,label_it,Georg Höckner
odang_person_5321917,P106,Q170790
odang_person_5321917,P21,Q6581097
odang_person_5321917,P569,1860
odang_person_5321917,message,171
92,refersTo,odang_person_1297842
odang_person_1297842,label_it,Zhong Biao
odang_person_1297842,P106,Q1028181
odang_person_1297842,P19,Q11725
odang_person_1297842,P21,Q6581097
odang_person_1297842,P27,Q148
odang_person_1297842,P39,Q37226
odang_person_1297842,P569,1968
odang_person_1297842,message,92
30,refersTo,odang_person_3865487
odang_person_3865487,label_it,Désiré Fiévé
odang_person_3865487,P102,Q792293
odang_person_3865487,P106,Q82955
odang_person_3865487,P19,Q1296
odang_person_3865487,P20,Q1296
odang_person_3865487,P21,Q6581097
odang_person_3865487,P27,Q31
odang_person_3865487,P39,Q15705021
odang_person_3865487,P569,1825
odang_person_3865487,message,30
15,refersTo,odang_person_71616
odang_person_71616,label_it,Dick de Cloe
odang_person_71616,P102,Q275441
odang_person_71616,P106,Q82955
odang_person_71616,P21,Q6581097
odang_person_71616,P27,Q29999
odang_person_71616,P39,Q18887908
odang_person_71616,P569,1947
odang_person_71616,message,15
132,refersTo,odang_person_4207704
odang_person_4207704,label_it,Feije Cornelis Spits
odang_person_4207704,P103,Q7411
odang_person_4207704,P106,Q1622272
odang_person_4207704,P108,Q221653
odang_person_4207704,P1412,Q7411
odang_person_4207704,P19,Q34370
odang_person_4207704,P21,Q6581097
odang_person_4207704,P27,Q29999
odang_person_4207704,P569,1913
odang_person_4207704,message,132
17,refersTo,odang_person_1742076
odang_person_1742076,label_it,Josef Franz Staffler
odang_person_1742076,P106,Q21500306
odang_person_1742076,P21,Q6581097
odang_person_1742076,P569,1807
odang_person_1742076,message,17
136,refersTo,odang_person_2256487
odang_person_2256487,label_it,Maria Piazzai
odang_person_2256487,P106,Q33999
odang_person_2256487,P21,Q6581072
odang_person_2256487,message,136
123,refersTo,odang_person_1562638
odang_person_1562638,label_it,Beatrice Solinas Donghi
odang_person_1562638,P106,Q36180
odang_person_1562638,P1412,Q652
odang_person_1562638,P19,Q265528
odang_person_1562638,P20,Q1449
odang_person_1562638,P21,Q6581072
odang_person_1562638,P27,Q38
odang_person_1562638,P569,1923
odang_person_1562638,message,123
81,refersTo,odang_person_8806990
odang_person_8806990,label_it,Mitridate
odang_person_8806990,P21,Q6581097
odang_person_8806990,P22,Q40199811
odang_person_8806990,message,81
72,refersTo,odang_person_1509521
odang_person_1509521,label_it,Johann Baptist Scholl d. Ä.
odang_person_1509521,P106,Q1281618
odang_person_1509521,P1412,Q188
odang_person_1509521,P19,Q3936
odang_person_1509521,P21,Q6581097
odang_person_1509521,P27,Q183
odang_person_1509521,P40,Q1443503
odang_person_1509521,P569,1784
odang_person_1509521,message,72
172,refersTo,odang_person_7131637
odang_person_7131637,label_it,John Foster Gaskell
odang_person_7131637,P569,1878
odang_person_7131637,message,172
141,refersTo,odang_person_8497879
odang_person_8497879,label_it,Craig Gottlieb
odang_person_8497879,P106,Q1607826
odang_person_8497879,P21,Q6581097
odang_person_8497879,P569,1971
odang_person_8497879,message,141
191,refersTo,odang_person_6636469
odang_person_6636469,label_it,Remedy Rule
odang_person_6636469,P106,Q10843402
odang_person_6636469,P21,Q6581072
odang_person_6636469,P569,1996
odang_person_6636469,message,191
136,refersTo,odang_person_7472332
odang_person_7472332,label_it,Andrés Tuduri
odang_person_7472332,P106,Q937857
odang_person_7472332,P1412,Q1321
odang_person_7472332,P19,Q497801
odang_person_7472332,P20,Q2807
odang_person_7472332,P21,Q6581097
odang_person_7472332,P27,Q29
odang_person_7472332,P569,1898
odang_person_7472332,message,136
149,refersTo,odang_person_8908868
odang_person_8908868,label_it,Maria Juliana Werpup
odang_person_8908868,P21,Q6581072
odang_person_8908868,P569,1633
odang_person_8908868,message,149
114,refersTo,odang_person_1455221
odang_person_1455221,label_it,Henning Helger
odang_person_1455221,P106,Q42973
odang_person_1455221,P21,Q6581097
odang_person_1455221,P27,Q35
odang_person_1455221,P569,1912
odang_person_1455221,message,114
126,refersTo,odang_person_48507
odang_person_48507,label_it,Glen Elder
odang_person_48507,P106,Q2306091
odang_person_48507,P108,Q192334
odang_person_48507,P1412,Q1860
odang_person_48507,P166,Q22580144
odang_person_48507,P19,Q37320
odang_person_48507,P21,Q6581097
odang_person_48507,P27,Q30
odang_person_48507,P463,Q463303
odang_person_48507,P569,1934
odang_person_48507,message,126
40,refersTo,odang_person_987216
odang_person_987216,label_it,Hava Inbar
odang_person_987216,P106,Q189290
odang_person_987216,P21,Q6581072
odang_person_987216,P27,Q801
odang_person_987216,message,40
33,refersTo,odang_person_5331817
odang_person_5331817,label_it,J. Casaer
odang_person_5331817,P106,Q1650915
odang_person_5331817,P108,Q2913980
odang_person_5331817,P27,Q31
odang_person_5331817,message,33
159,refersTo,odang_person_8743013
odang_person_8743013,label_it,Michael Abendroth
odang_person_8743013,P106,Q2259451
odang_person_8743013,P1412,Q188
odang_person_8743013,P19,Q1055
odang_person_8743013,P21,Q6581097
odang_person_8743013,P27,Q183
odang_person_8743013,P569,1948
odang_person_8743013,message,159
171,refersTo,odang_person_2598010
odang_person_2598010,label_it,West Funk
odang_person_2598010,P166,Q203535
odang_person_2598010,P19,Q100
odang_person_2598010,P20,Q1594054
odang_person_2598010,P21,Q6581097
odang_person_2598010,P27,Q30
odang_person_2598010,P569,1841
odang_person_2598010,P945,Q30
odang_person_2598010,message,171
29,refersTo,odang_person_4959100
odang_person_4959100,label_it,Mark Stock
odang_person_4959100,P106,Q1028181
odang_person_4959100,P19,Q1794
odang_person_4959100,P20,Q17042
odang_person_4959100,P21,Q6581097
odang_person_4959100,P27,Q30
odang_person_4959100,P569,1951
odang_person_4959100,message,29
51,refersTo,odang_person_5059841
odang_person_5059841,label_it,Achille Muzio
odang_person_5059841,P106,Q201788
odang_person_5059841,P21,Q6581097
odang_person_5059841,message,51
47,refersTo,odang_person_2443758
odang_person_2443758,label_it,Heinz Stoob
odang_person_2443758,P106,Q17488465
odang_person_2443758,P108,Q168426
odang_person_2443758,P1412,Q188
odang_person_2443758,P19,Q1055
odang_person_2443758,P20,Q2742
odang_person_2443758,P21,Q6581097
odang_person_2443758,P27,Q183
odang_person_2443758,P569,1919
odang_person_2443758,P937,Q2742
odang_person_2443758,message,47
20,refersTo,odang_person_1513656
odang_person_1513656,label_it,Inge Rolf Ringnes
odang_person_1513656,P106,Q486748
odang_person_1513656,P166,Q3358664
odang_person_1513656,P21,Q6581097
odang_person_1513656,P22,Q5364681
odang_person_1513656,P25,Q56692424
odang_person_1513656,P27,Q20
odang_person_1513656,P3373,Q6423804
odang_person_1513656,P40,Q5636476
odang_person_1513656,P569,1894
odang_person_1513656,message,20
112,refersTo,odang_person_5346280
odang_person_5346280,label_it,Krzysztof Bąk
odang_person_5346280,P106,Q1650915
odang_person_5346280,P108,Q677662
odang_person_5346280,P1412,Q809
odang_person_5346280,P21,Q6581097
odang_person_5346280,P27,Q36
odang_person_5346280,message,112
126,refersTo,odang_person_3665957
odang_person_3665957,label_it,Diego de Hojeda
odang_person_3665957,P106,Q36180
odang_person_3665957,P1412,Q1321
odang_person_3665957,P19,Q8717
odang_person_3665957,P20,Q215221
odang_person_3665957,P21,Q6581097
odang_person_3665957,P27,Q29
odang_person_3665957,P569,1570
odang_person_3665957,P611,Q131479
odang_person_3665957,P6886,Q1321
odang_person_3665957,message,126
11,refersTo,odang_person_8930952
odang_person_8930952,label_it,Atif Waraich
odang_person_8930952,P106,Q1650915
odang_person_8930952,P21,Q6581097
odang_person_8930952,message,11
