s,o,entity
odang_person_8368716,P21,Q6581072
odang_person_4784643,P106,Q36834
odang_person_1198059,P40,Q9352021
odang_person_8867,P19,Q2412514
odang_person_6369853,P1412,Q652
odang_person_7165975,P166,Q3870551
odang_person_4778023,P551,Q935116
odang_person_2391428,P40,Q45350476
odang_person_8898,P19,Q2211
odang_person_1231777,P21,Q6581097
Q662849,label,Alleanza Nazionale
odang_person_8898,P21,Q6581072
Q159,label,Russia
odang_person_8387024,P106,Q201788
odang_person_1205662,P27,Q30
odang_person_7172744,P3373,Q3768495
odang_person_3926006,P19,Q190897
Q1738793,label,Kennedy Center Honors
odang_person_3688389,P6886,Q652
Q743276,label,Ferruccio Lamborghini
odang_person_4784366,P937,Q2634
odang_person_2484487,P19,Q65
odang_person_4777859,P937,Q64
odang_person_3627259,P937,Q6602
odang_person_8360933,P106,Q639669
